long;lat;id;nombre;categoria;cocina;ambientacion;telefono;mail;horario;calle_nombre;calle_altura;calle_cruce;direccion_completa;barrio;comuna;codigo_postal;codigo_postal_argentino
-58.436535;-34.58534613;6;8 MILIMETROS;RESTAURANTE;DE AUTOR;CINE;4899 0474;N/A;NO ESPECIFICADA;GORRITI;5535;N/A;GORRITI 5535;Palermo;14;1414.0;C1414BKC
-58.38104345;-34.6014656;2094;9 DE JULIO;RESTAURANTE;GASTRONOMIA GENERAL;GENERAL;4322 2501;N/A;NO ESPECIFICADA;PELLEGRINI CARLOS;593;N/A;PELLEGRINI, CARLOS 593;San Nicolas;1;1009.0;C1009ABK
-58.47315205;-34.67544011;2740;9 DE JULIO II;CAFE;PIZZERIA;CLASICO PORTENIO;NO DISPONIBLE;N/A;NO ESPECIFICADA;RIESTRA;5498;N/A;RIESTRA AV. 5498;Villa Lugano;8;1439.0;C1439BYS
-58.37445146;-34.60214078;2095;ABC;RESTAURANTE;ALEMANA;ALEMANA;4393 3992;N/A;lunes a viernes de 12 a 17;LAVALLE;545;N/A;LAVALLE 545;San Nicolas;1;1047.0;C1047AAK
-58.37981478;-34.59414798;1950;ABRIL;RESTAURANTE;INTERNACIONAL;CLASICO PORTENIO;4393 0684;N/A;lunes a sabado de 8 a 00;ARENALES;900;N/A;ARENALES 900;Retiro;1;1061.0;C1061AAD
-58.37021291;-34.61614207;2549;ABRIL BRISTO;RESTAURANTE;TRADICIONAL;CLASICO PORTENIO;4342 8000;abrilbistro@fibertel.com;NO ESPECIFICADA;BALCARCE;722;N/A;BALCARCE 722;San Telmo;1;1064.0;C1064AAP
-58.46085396;-34.64275814;1122;ABUELO MATIAS;RESTAURANTE;MINUTAS;CLASICO PORTENIO;4611 2758;abuelomatias@hotmail.com;NO ESPECIFICADA;SAN PEDRITO;1094;N/A;SAN PEDRITO 1094;Flores;7;1406.0;C1406EXX
-58.43766997;-34.58301901;7;ACABAR;BAR;MINUTAS;BOHEMIO;4772 0845;acabar@bank.com.ar;NO ESPECIFICADA;HONDURAS;5733;N/A;HONDURAS 5733;Palermo;14;1414.0;C1414BNG
-58.37750139;-34.60234646;2096;ACAPULCO;RESTAURANTE;PORTEÑA;CLASICO PORTENIO;4394 7975;acapulco@restaurante.com.ar;NO ESPECIFICADA;LAVALLE;757;N/A;LAVALLE 757;San Nicolas;1;1047.0;C1047AAO
-58.39159269;-34.61269406;1336;ACAPULCO;CAFE;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;MORENO;1800;N/A;MORENO 1800;Monserrat;1;1093.0;C1093ABH
-58.48398043;-34.57558625;2823;ACCADEMIA della pizza;RESTAURANTE;TRADICIONAL;MODERNO;4522-4400;N/A;NO ESPECIFICADA;Triunvirato;4495;N/A;TRIUNVIRATO AV. 4495;Villa Urquiza;12;1431.0;C1431FBH
-58.40451197;-34.61142666;678;A CORUÃ‘A;VINERIA;TRADICIONAL;CLASICO PORTENIO;4931 3582;N/A;NO ESPECIFICADA;MISIONES;125;N/A;MISIONES 125;Balvanera;3;1083.0;C1083ABC
-58.41028019;-34.5894053;1638;ACQUANOVA;OTROS;MINUTAS;CLASICO PORTENIO;4825 1833;N/A;lunes a domingo de 8 a 3;DIAZ CNEL.;1879;N/A;DIAZ, CNEL. AV. 1879;Recoleta;2;1425.0;C1425DQE
-58.41567048;-34.59777248;1639;ACROPOLIS;CAFE;SANDWICHERIA;CLASICO PORTENIO;4963 4888;N/A;lunes a viernes de 7 a 20;CORDOBA;3493;N/A;CORDOBA AV. 3493;Recoleta;2;1188.0;C1188AAA
-58.45826625;-34.63970263;1124;ACUARIO;RESTAURANTE;PARRILLA;CLASICO PORTENIO;NO DISPONIBLE;N/A;NO ESPECIFICADA;VARELA;920;N/A;VARELA AV. 920;Flores;7;1406.0;C1406EKT
-58.45261731;-34.56527464;489;ADANN;RESTAURANTE;INTERNACIONAL;CLASICO PORTENIO;4783 6429;N/A;NO ESPECIFICADA;HERNANDEZ JOSE;2345;N/A;HERNANDEZ, JOSE 2345;Belgrano;13;1426.0;C1426EOO
-58.39785245;-34.59714629;1641;AFICHE;CAFE;INTERNACIONAL;CLASICO PORTENIO;4822 8979;N/A;NO ESPECIFICADA;ALVEAR MARCELO T. De;2119;N/A;ALVEAR, MARCELO T. De 2119;Recoleta;2;1122.0;C1122AAG
-58.5204763;-34.62615766;2648;A FUEGO LENTO;RESTAURANTE;TRADICIONAL;RUSTICA;4644 6566;N/A;NO ESPECIFICADA;SANTO TOME;5915;N/A;SANTO TOME 5915;Versalles;10;1408.0;C1408AYM
-58.35939587;-34.62879751;1222;AGARRATE CATALINA;RESTAURANTE;PARRILLA;CLASICO PORTENIO;4307 1099;N/A;lunes a sabado de 9 a 16 y de 19 a 21;CABOTO;537;N/A;CABOTO 537;Boca;4;1157.0;C1157ABI
-58.38406857;-34.58936478;1951;AGRAZ;RESTAURANTE;INTERNACIONAL;MODERNO;4859 1129;N/A;NO ESPECIFICADA;POSADAS;1232;N/A;POSADAS 1232;Retiro;1;1011.0;C1011ABF
-58.36546876;-34.62010255;1591;AIRES DE PATAGONIA;RESTAURANTE;PATAGONICA;RUSTICA;4315 2151;www.airesdepatagonia.com;lunes a lunes de 11 al cierre;MOREAU DE JUSTO ALICIA;1798;N/A;MOREAU DE JUSTO, ALICIA AV. 1798;Puerto Madero;1;1107.0;C1107AFJ
-58.37091237;-34.61598693;2547;A. J. JARDIN CERVERCERO;RESTAURANTE;TRADICIONAL;CLASICO PORTENIO;4300 7480;N/A;lunes a domingo de 9 a 5;CHILE;342;N/A;CHILE AV. 342;San Telmo;1;1098.0;C1098AAH
-58.3923528;-34.61395387;677;ALA...;RESTAURANTE;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;BELGRANO;1836;N/A;BELGRANO AV. 1836;Balvanera;3;1094.0;C1094AAN
-58.41050581;-34.61052573;679;ALABAMA;RESTAURANTE;MINUTAS;CLASICO PORTENIO;4861 2210;N/A;NO ESPECIFICADA;RIVADAVIA;3102;N/A;RIVADAVIA AV. 3102;Balvanera;3;1203.0;C1203AAQ
-58.43406204;-34.57586786;13;ALABAMA;RESTAURANTE;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;SANTA FE;5270;N/A;SANTA FE AV. 5270;Palermo;14;1425.0;C1425BIO
-58.39053136;-34.61143764;1337;ALAI;CAFE;MINUTAS;MODERNO;4377 2363;N/A;NO ESPECIFICADA;ALSINA ADOLFO;1702;N/A;ALSINA, ADOLFO 1702;Monserrat;1;1088.0;C1088AAR
-58.39952217;-34.59687595;1637;A LA MAROSKA;RESTAURANTE;INTERNACIONAL;CLASICO PORTENIO;4824 8878;N/A;NO ESPECIFICADA;ALVEAR MARCELO T. De;2251;N/A;ALVEAR, MARCELO T. De 2251;Recoleta;2;1122.0;C1122AAI
-58.38356542;-34.60912235;1339;ALAMEDA;RESTAURANTE;INTERNACIONAL;GENERAL;4381 2859;N/A;lunes a lunes de 12 a 15 y de 20 a 00;DE MAYO;1203;N/A;DE MAYO AV. 1203;Monserrat;1;1085.0;C1085ABC
-58.39765854;-34.58719587;1642;ALAMEDA;RESTAURANTE;MINUTAS;MODERNO;4803 3380;N/A;NO ESPECIFICADA;LAS HERAS GRAL.;2324;N/A;LAS HERAS GENERAL AV. 2324;Recoleta;2;1425.0;C1425ASN
-58.43258;-34.58669839;8;AL ANDALUZ;BAR;MEDITERRANEA;ANTIGUO;4832 9286;N/A;NO ESPECIFICADA;GODOY CRUZ;1823;N/A;GODOY CRUZ 1823;Palermo;14;1414.0;C1414CYM
-58.37340056;-34.61606963;2548;ALARICO;RESTAURANTE;ESPAÑOLA;CLASICO PORTENIO;NO DISPONIBLE;alarico_tapas@hotmail.com;lunes a viernes de 12 a 00 - sabado de 20 a 3;CHILE;518;N/A;CHILE 518;San Telmo;1;1098.0;C1098AAL
-58.3789129;-34.62202501;1093;AL BAR;BAR;INTERNACIONAL;MODERNO;4300 5208;N/A;NO ESPECIFICADA;SAN JUAN;915;N/A;SAN JUAN AV. 915;Constitucion;1;1147.0;C1147AAH
-58.4072536;-34.61029154;680;ALBERNIZ;CAFE;PIZZERIA;CLASICO PORTENIO;4861 7500;N/A;NO ESPECIFICADA;RIVADAVIA;2886;N/A;RIVADAVIA AV. 2886;Balvanera;3;1203.0;C1203AAN
-58.3775746;-34.61969294;1094;ALBOR;BAR;PARRILLA;CLASICO PORTENIO;NO DISPONIBLE;N/A;NO ESPECIFICADA;CALVO CARLOS;819;N/A;CALVO, CARLOS 819;Constitucion;1;1102.0;C1102AAQ
-58.39657272;-34.59868724;1640;AL CLUB;RESTAURANTE;PORTEÑA;MODERNO;4963 0040;N/A;NO ESPECIFICADA;PARAGUAY;2044;N/A;PARAGUAY 2044;Recoleta;2;1121.0;C1121ABF
-58.43052464;-34.60523941;611;ALDEA DE ALBARICOQUE;RESTAURANTE;GASTRONOMIA GENERAL;GENERAL;4865 4207;N/A;NO ESPECIFICADA;LAMBARE;847;N/A;LAMBARE 847;Almagro;5;1185.0;C1185ABA
-58.38557326;-34.59842184;1952;ALEA;CAFE;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;TALCAHUANO;888;N/A;TALCAHUANO 888;Retiro;1;1013.0;C1013AAR
-58.42947034;-34.5990424;2657;ALE- ALE;OTROS;PARRILLA;RUSTICA;4867 4618;N/A;NO ESPECIFICADA;ESTADO DE ISRAEL;4503;N/A;ESTADO DE ISRAEL AV. 4503;Villa Crespo;15;1185.0;C1185AAE
-58.38877586;-34.5993069;1955;ALEKS;CAFE;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;CORDOBA;1541;N/A;CORDOBA AV. 1541;Recoleta;2;1055.0;C1055AAF
-58.37144422;-34.60079143;2097;ALEXANDER;RESTAURANTE;INTERNACIONAL;GENERAL;4315 0112;N/A;NO ESPECIFICADA;TUCUMAN;304;N/A;TUCUMAN 304;San Nicolas;1;1049.0;C1049AAH
-58.41872588;-34.58900334;12;ALFONSO 1RO;RESTAURANTE;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;PARAGUAY;3948;N/A;PARAGUAY 3948;Palermo;14;1425.0;C1425BSD
-58.40257729;-34.59539971;1643;ALFRED;RESTAURANTE;MINUTAS;MODERNO;4827 4200;alfred_cocinabar@hotmail.com;NO ESPECIFICADA;PUEYRREDON AV;1335;N/A;PUEYRREDON AV. 1335;Recoleta;2;1118.0;C1118.0XXX
-58.43214062;-34.5873739;10;AL FRESCO;RESTAURANTE;TRADICIONAL;CLASICO PORTENIO;4833 2776;N/A;lunes a sabado de 8 a 20;HONDURAS;5201;N/A;HONDURAS 5201;Palermo;14;1414.0;C1414BMU
-58.37209467;-34.59959783;2098;ALGO NATURAL;RESTAURANTE;TRADICIONAL;MODERNO;4312 5976;N/A;lunes a viernes de 8 a 16;VIAMONTE;351;N/A;VIAMONTE 351;San Nicolas;1;1053.0;C1053ABG
-58.48521265;-34.63472873;2630;ALHAMBRA;RESTAURANTE;PIZZERIA;CLASICO PORTENIO;4674 3588;N/A;NO ESPECIFICADA;RIVADAVIA;8628;N/A;RIVADAVIA AV. 8628;Velez Sarsfield;10;1407.0;C1407DYV
-58.43160636;-34.5890697;14;ALHARACA;RESTAURANTE;MINUTAS;MODERNO;4831 2787;N/A;NO ESPECIFICADA;GORRITI;5045;N/A;GORRITI 5045;Palermo;14;1414.0;C1414BJQ
-58.37399696;-34.60138696;2100;ALIMENTAR;RESTAURANTE;GASTRONOMIA GENERAL;GENERAL;4328 7700;www.alimentar.com;NO ESPECIFICADA;SAN MARTIN;570;N/A;SAN MARTIN 570;San Nicolas;1;1004.0;C1004AAL
-58.38285631;-34.6026351;2099;ALIMENTARI;RESTAURANTE;INTERNACIONAL;GENERAL;4384 9364;www.alimentari.com;NO ESPECIFICADA;LAVALLE;1120;N/A;LAVALLE 1120;San Nicolas;1;1048.0;C1048AAD
-58.37208833;-34.60436256;2101;ALIMENTOS;RESTAURANTE;FAST FOOD;MODERNO;4343 5656;info@alimentos.com;lunes a viernes de 7 a 19;SARMIENTO;372;N/A;SARMIENTO 372;San Nicolas;1;1041.0;C1041AAH
-58.50429929;-34.65290497;1285;ALL VERDI;RESTAURANTE;INTERNACIONAL;MODERNO;4686 2932;N/A;NO ESPECIFICADA;OLIDEN;1493;N/A;OLIDEN 1493;Mataderos;9;1440.0;C1440CQC
-58.40610175;-34.59561776;1645;ALMACEN NATURISTA;RESTAURANTE;NATURISTA;MODERNO;4963 1513;N/A;lunes a sabado de 8 a 22;MANSILLA LUCIO NORBERTO GRAL.;2740;N/A;MANSILLA, LUCIO NORBERTO, GENERAL 2740;Recoleta;2;1425.0;C1425BPF
-58.43524299;-34.58158673;15;ALMONTE;RESTAURANTE;ESPAÑOLA;ESPANIOL;4773 7070;N/A;NO ESPECIFICADA;BONPLAND;1939;N/A;BONPLAND 1939;Palermo;14;1414.0;C1414CMY
-58.43495912;-34.61754471;956;ALO - ALO;RESTAURANTE;TRADICIONAL;ELEGANTE;4902 8050;N/A;NO ESPECIFICADA;RIVADAVIA;4945;N/A;RIVADAVIA AV. 4945;Caballito;6;1424.0;C1424CEE
-58.45713092;-34.62675319;1123;ALPINA SKATE;PUB;SANDWICHERIA;CLASICO PORTENIO;4611 9218;alpina@fibertel.com.ar;NO ESPECIFICADA;RIVADAVIA;6431;N/A;RIVADAVIA AV. 6431;Flores;7;1406.0;C1406GLH
-58.42667337;-34.59194344;9;AL SHARK;RESTAURANTE;ARABE;ARABE;4833 6933;www.alshark.com.ar;NO ESPECIFICADA;SCALABRINI ORTIZ RAUL;1426;N/A;SCALABRINI ORTIZ, RAUL AV. 1426;Palermo;14;1414.0;C1414DOO
-58.37044709;-34.61007602;1338;ALSINA 300;RESTAURANTE;MINUTAS;MODERNO;4331 7636;N/A;lunes a viernes de 8 a 19.30;ALSINA ADOLFO;300;N/A;ALSINA, ADOLFO 300;Monserrat;1;1087.0;C1087AAB
-58.41552954;-34.58605603;11;AL TAGLIO PIZZORANTE;RESTAURANTE;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;ARAOZ;2476;N/A;ARAOZ 2476;Palermo;14;1425.0;C1425DGL
-58.4360137;-34.62589814;958;ALTO GOYENO;RESTAURANTE;TRADICIONAL;MODERNO;4924 6500;N/A;NO ESPECIFICADA;GOYENA PEDRO;599;N/A;GOYENA, PEDRO AV. 599;Caballito;6;1424.0;C1424BSF
-58.48629411;-34.64068797;1522;ALVEAR PARK;RESTAURANTE;MINUTAS;CLASICO PORTENIO;4881 0102;N/A;lunes a lunes de 7 a 23;ALBERDI JUAN BAUTISTA;4302;N/A;ALBERDI, JUAN BAUTISTA AV. 4302;Parque Avellaneda;9;1407.0;C1407GZX
-58.47075154;-34.63111882;1125;AMADEUS;PUB;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;RIVADAVIA;7472;N/A;RIVADAVIA AV. 7472;Flores;7;1406.0;C1406GMR
-58.40796543;-34.61966785;682;AMAKAI;CAFE;MINUTAS;CLASICO PORTENIO;4932 7909;N/A;NO ESPECIFICADA;INDEPENDENCIA;3001;N/A;INDEPENDENCIA AV. 3001;Balvanera;3;1225.0;C1225AAM
-58.4696312;-34.58277714;2749;AMARETTO;RESTAURANTE;MINUTAS;CLASICO PORTENIO;4552 0080;N/A;lunes a lunes de 8 a 23;CHORROARIN;1206;N/A;CHORROARIN AV. 1206;Villa Ortuzar;15;1427.0;C1427CXW
-58.49734522;-34.59698886;2696;AMBAR BUENOS AIRES;PUB;SANDWICHERIA;MODERNO;NO DISPONIBLE;N/A;NO ESPECIFICADA;BEIRO FRANCISCO;3124;N/A;BEIRO, FRANCISCO AV. 3124;Villa Del Parque;11;1419.0;C1419HYS
-58.44133019;-34.60888;957;AMERICA;RESTAURANTE;TRADICIONAL;GENERAL;4982 0398;N/A;lunes a domingo mediodia y noche;HIDALGO;899;N/A;HIDALGO 899;Caballito;6;1405.0;C1405BCM
-58.3749608;-34.60897844;1340;AMERICA DELI;CAFE;MINUTAS;MODERNO;4381 4807;N/A;NO ESPECIFICADA;PERU;85;N/A;PERU 85;Monserrat;1;1067.0;C1067AAA
-58.38640792;-34.61337484;1342;AMERICANO;BAR;GASTRONOMIA GENERAL;GENERAL;4982 7790;N/A;NO ESPECIFICADA;BELGRANO;1421;N/A;BELGRANO AV. 1421;Monserrat;1;1093.0;C1093AAC
-58.38183408;-34.61653756;1341;AMICO;CAFE;MINUTAS;MODERNO;4381 4807;N/A;NO ESPECIFICADA;CHILE;1110;N/A;CHILE 1110;Monserrat;1;1098.0;C1098AAX
-58.3866954;-34.60641179;2102;AMIGOS;BAR;MINUTAS;CLASICO PORTENIO;4372 2671;N/A;lunes a viernes de 7 a 22;PERON JUAN DOMINGO TTE.;1417;N/A;PERON, JUAN DOMINGO, TTE. GENERAL 1417;San Nicolas;1;1037.0;C1037ACA
-58.38769504;-34.58621359;1644;AMIGOS PROPIETARIOS;RESTAURANTE;TRADICIONAL;GENERAL;NO DISPONIBLE;N/A;lunes a domingo mediodia y noche;AYACUCHO;2183;N/A;AYACUCHO 2183;Recoleta;2;1112.0;C1112AAM
-58.38151104;-34.6163939;1095;AMIKO;RESTAURANTE;PIZZERIA;GENERAL;4381 4807;N/A;lunes a domingo de 12 a 15 y de 20 a 00;LIMA;700;N/A;LIMA 700;Monserrat;1;1073.0;C1073AAN
-58.37015062;-34.60214835;2104;ANAHI;BAR;MINUTAS;CLASICO PORTENIO;4311 2412;N/A;lunes a viernes de 7 a 21;ALEM LEANDRO N.;481;N/A;ALEM, LEANDRO N. AV. 481;San Nicolas;1;1003.0;C1003AAE
-58.38734659;-34.61120849;1343;AÃ‘ARO CERO;CAFE;GASTRONOMIA GENERAL;GENERAL;4382 0083;N/A;NO ESPECIFICADA;ALSINA ADOLFO;1494;N/A;ALSINA, ADOLFO 1494;Monserrat;1;1088.0;C1088AAL
-58.40529401;-34.59331965;1646;ANCHORENA PLAZA;RESTAURANTE;PIZZERIA;MODERNO;4484 8951;N/A;NO ESPECIFICADA;SANTA FE;2702;N/A;SANTA FE AV. 2702;Recoleta;2;1425.0;C1425BGP
-58.43458053;-34.57563914;17;ANDEN;RESTAURANTE;INTERNACIONAL;MODERNO;4773 0707;N/A;NO ESPECIFICADA;SANTA FE;5302;N/A;SANTA FE AV. 5302;Palermo;14;1425.0;C1425BIP
-58.41388397;-34.5908436;16;ANGECINA;RESTAURANTE;INTERNACIONAL;MODERNO;4825 1140;N/A;lunes a domingo de 8.30 a 2;REPUBLICA DOMINICANA;3386;N/A;REPUBLICA DOMINICANA 3386;Palermo;14;1425.0;C1425GKB
-58.44210575;-34.58642203;18;ANGELIN;RESTAURANTE;PIZZERIA;MODERNO;4774 3836;N/A;NO ESPECIFICADA;CORDOBA;5770;N/A;CORDOBA AV. 5770;Chacarita;15;1414.0;C1414BBQ
-58.41360088;-34.59076868;19;ANGELINA;RESTAURANTE;INTERNACIONAL;MODERNO;4825 1111;angelinarestoran@hotmail.com;NO ESPECIFICADA;CHARCAS;3386;N/A;CHARCAS 3386;Palermo;14;1425.0;C1425BMR
-58.40577031;-34.59271066;1647;ANGELO'S;CAFE;SANDWICHERIA;CLASICO PORTENIO;NO DISPONIBLE;N/A;lunes a sabado de 19 a 7;SANTA FE;2779;N/A;SANTA FE AV. 2779;Recoleta;2;1425.0;C1425BGC
-58.4605471;-34.54409035;1496;ANGELUS;RESTAURANTE;PIZZERIA;MODERNO;4703 2911;N/A;NO ESPECIFICADA;DEL LIBERTADOR;7598;N/A;DEL LIBERTADOR AV. 7598;NuÃ±ez;13;1429.0;C1429BMV
-58.47135189;-34.63128549;1126;ANGLO;CAFE;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;RIVADAVIA;7510;N/A;RIVADAVIA AV. 7510;Flores;7;1406.0;C1406GMS
-58.37240705;-34.60206359;2103;ANGOSTURA;RESTAURANTE;MINUTAS;MODERNO;4314 2334;N/A;lunes a viernes de 7 a 20;LAVALLE;400;N/A;LAVALLE 400;San Nicolas;1;1047.0;C1047AAH
-58.46928641;-34.63073102;1129;ANIMATE;CAFE;MINUTAS;MODERNO;NO DISPONIBLE;N/A;NO ESPECIFICADA;RIVADAVIA;7390;N/A;RIVADAVIA AV. 7390;Flores;7;1406.0;C1406GMQ
-58.45018557;-34.58713493;562;ANITA;RESTAURANTE;MINUTAS;CLASICO PORTENIO;NO DISPONIBLE;N/A;NO ESPECIFICADA;NEWBERY JORGE;3902;N/A;NEWBERY, JORGE AV. 3902;Chacarita;15;1427.0;C1427EGS
-58.38978183;-34.60076063;2105;ANKER;RESTAURANTE;INTERNACIONAL;GENERAL;4371 9253;N/A;NO ESPECIFICADA;VIAMONTE;1602;N/A;VIAMONTE 1602;San Nicolas;1;1055.0;C1055ABF
-58.44664724;-34.56813268;20;ANTAÃ‘O BAR;BAR;MINUTAS;CLASICO PORTENIO;4706 3718;N/A;NO ESPECIFICADA;VUELTA DE OBLIGADO;1101;N/A;VUELTA DE OBLIGADO 1101;Palermo;14;1426.0;C1426BEA
-58.42973547;-34.58628847;21;ANTE SALA;BAR;MINUTAS;MODERNO;4833 4200;N/A;NO ESPECIFICADA;COSTA RICA;4969;N/A;COSTA RICA 4969;Palermo;14;1414.0;C1414BSO
-58.43204671;-34.59251397;22;ANUSH;BAR;ARMENIA;ARMENIA;4631 1349;N/A;NO ESPECIFICADA;ARMENIA;1242;N/A;ARMENIA 1242;Palermo;14;1414.0;C1414DKB
-58.38076386;-34.60653983;2106;APETECE;RESTAURANTE;INTERNACIONAL;MODERNO;5237 5664;www.apetece.com.ar;lunes a viernes de 8 a 20;PELLEGRINI CARLOS;169;N/A;PELLEGRINI, CARLOS 169;San Nicolas;1;1009.0;C1009ABC
-58.41200653;-34.61531586;681;APLAUSOS;RESTAURANTE;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;BELGRANO;3251;N/A;BELGRANO AV. 3251;Balvanera;3;1210.0;C1210AAA
-58.3779913;-34.60241959;2108;ARABIAN FOOD;RESTAURANTE;FAST FOOD;MODERNO;4322 6705;N/A;lunes a viernes de 7 a 1 - sabado de 10 a 2 - domingo de 12 a 1;LAVALLE;796;N/A;LAVALLE 796;San Nicolas;1;1047.0;C1047AAP
-58.39536051;-34.6042342;683;ARACA BUENOS AIRES;RESTAURANTE;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;AYACUCHO;408;N/A;AYACUCHO 408;Balvanera;3;1026.0;C1026AAB
-58.3769913;-34.6000049;2107;ARCANGEL;RESTAURANTE;MINUTAS;MODERNO;4322 4502;N/A;lunes a viernes de 8 a 20;VIAMONTE;702;N/A;VIAMONTE 702;San Nicolas;1;1053.0;C1053ABP
-58.38130616;-34.59411306;1953;ARENALES 999;BAR;GASTRONOMIA GENERAL;GENERAL;NO DISPONIBLE;N/A;NO ESPECIFICADA;ARENALES;999;N/A;ARENALES 999;Retiro;1;1061.0;C1061AAE
-58.43019031;-34.57083333;23;AREVALO AL FONDO;RESTAURANTE;TRADICIONAL;ELEGANTE;4776 5261;arevaloalfondo@hotmail.com;NO ESPECIFICADA;AREVALO;3056;N/A;AREVALO 3056;Palermo;14;1426.0;C1426DJH
-58.48123151;-34.6083792;2690;ARGOT CAFE;PUB;SANDWICHERIA;BRITANICA;4588 1329;www.bairesrestobar.com.ar;NO ESPECIFICADA;ALVAREZ JONTE;2744;N/A;ALVAREZ JONTE AV. 2744;Villa Santa Rita;11;1416.0;C1416EXZ
-58.42992106;-34.57233088;24;ARGUIBEL;RESTAURANTE;REGIONAL;BOHEMIO;4899 0700;www.arguibel.com;NO ESPECIFICADA;ARGUIBEL ANDRES;2826;N/A;ARGUIBEL, ANDRES 2826;Palermo;14;1426.0;C1426DKB
-58.52374451;-34.63920822;1266;ARI- CA;RESTAURANTE;MINUTAS;MODERNO;4641 0076;N/A;NO ESPECIFICADA;COSQUIN;25;N/A;COSQUIN 25;Liniers;9;1408.0;C1408GIA
-58.5220315;-34.63899146;1268;ARI- CA II;RESTAURANTE;MINUTAS;MODERNO;NO DISPONIBLE;N/A;NO ESPECIFICADA;RIVADAVIA;11156;N/A;RIVADAVIA AV. 11156;Liniers;9;1408.0;C1408AAY
